pos,excel_header,column_name,postgres_type,is_subtotal
1,Cus_group,cus_group,varchar(20),
2,Account,account,varchar(20),
3,Site,site,varchar(20),
4,Type,record_type,varchar(10),
5,Currency,report_currency,varchar(10),
6,Division 2,division2,varchar(20),
7,Division,division,varchar(20),
8,Year,fiscal_year,smallint,
9,Ver,version,varchar(20),
10,sold To,sold_to,varchar(20),
11,Forex,forex_rate,"numeric(18,9)",
12,Sales U$,sales_usd,"numeric(18,2)",
13,Op Profit U$,op_profit_usd,"numeric(18,2)",
14,Flag,flag,varchar(10),
15,Month,month_nm,varchar(10),
16,PP1,pp1,varchar(20),
17,Customer,customer,varchar(20),
18,Material Group,material_group,varchar(20),
19,Nielsen ID,nielsen_id,varchar(20),
20,Profit Center,profit_center,varchar(20),
21,Division,sap_division,varchar(10),
22,Distribution Channel,distribution_channel,varchar(10),
23,Period,period,varchar(10),
24,Currency,doc_currency,varchar(10),
25,Quantity(Gross),qty_gross,"numeric(18,3)",
26,Quantity(Return),qty_return,"numeric(18,3)",
27,Quantity(Net),qty_net,"numeric(18,3)",
28,*S.RRP,tot_s_rrp,"numeric(18,2)",Y
29,Reference Price,reference_price,"numeric(18,2)",
30,*Delear Discount,tot_dealer_discount,"numeric(18,2)",Y
31,S.Base Margin,s_base_margin,"numeric(18,2)",
32,S.Contract Margin,s_contract_margin,"numeric(18,2)",
33,S.Additional Margin,s_additional_margin,"numeric(18,2)",
34,S.Special Margin,s_special_margin,"numeric(18,2)",
35,*S.Gross Sales,tot_s_gross_sales,"numeric(18,2)",Y
36,S.Gross Sales AMT,s_gross_sales_amt,"numeric(18,2)",
37,S.Other Sales,s_other_sales,"numeric(18,2)",
38,S.Oth Sales Tax Inc,s_oth_sales_tax_inc,"numeric(18,2)",
39,S.Internal Sales Amt,s_internal_sales_amt,"numeric(18,2)",
40,*S.Return Amt,tot_s_return_amt,"numeric(18,2)",Y
41,S.Return Amt,s_return_amt,"numeric(18,2)",
42,*Ref. Sales,tot_ref_sales,"numeric(18,2)",Y
43,S.IFC,s_ifc,"numeric(18,2)",
44,S.FOB Sales Amt,s_fob_sales_amt,"numeric(18,2)",
45,*Sales Deduction,tot_sales_deduction,"numeric(18,2)",Y
46,S.Sales Allowance,s_sales_allowance,"numeric(18,2)",
47,S.Rebate,s_rebate,"numeric(18,2)",
48,S.Cash Discount,s_cash_discount,"numeric(18,2)",
49,S.Price Protection,s_price_protection,"numeric(18,2)",
50,S.CO-OP,s_co_op,"numeric(18,2)",
51,S.Sale Deduction TAX,s_sale_deduction_tax,"numeric(18,2)",
52,*Net Sales,tot_net_sales,"numeric(18,2)",Y
53,*Cost of Goods Sold,tot_cogs,"numeric(18,2)",Y
54,*Material Cost,tot_material_cost,"numeric(18,2)",Y
55,SC.Material Cost,sc_material_cost,"numeric(18,2)",
56,SC.Matl Cost-Loss,sc_matl_cost_loss,"numeric(18,2)",
57,SC.Cctr Matl Cost,sc_cctr_matl_cost,"numeric(18,2)",
58,SC.Cctr Matl-Loss,sc_cctr_matl_loss,"numeric(18,2)",
59,SC.OS Material Cost,sc_os_material_cost,"numeric(18,2)",
60,SC.Other Matl Cost,sc_other_matl_cost,"numeric(18,2)",
61,*Labor Cost,tot_labor_cost,"numeric(18,2)",Y
62,SC.Labor Cost,sc_labor_cost,"numeric(18,2)",
63,SC.Labor-Salaries,sc_labor_salaries,"numeric(18,2)",
